date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:43	8236/8236	---MCZ	200	added ('OK')	text/html	etag:W/%2243f5da098f515ac75c73d1239e65c02d%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/profile.html	(from )
09:24:44	1477/1477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2002:24:37%20GMT	https://html-demo-orcin.vercel.app/robots.txt		(from )
09:24:44	1108/1108	---MCZ	200	added ('OK')	application/json	etag:W/%22d40dcd90d94fc2c2857e1417adc9097b%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/manifest.json	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/manifest.json	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:45	875/875	---M--	200	added ('OK')	image/png	etag:%225ba73616b7f373a7434ceba1104bac49%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/assets/images/logo/favicon.png	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/assets/images/logo/favicon.png	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:45	420/420	---M--	200	added ('OK')	text/css	etag:%22fde0b385ecdb8f255ea3f4637328ecef%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/vendors/iconsax.css	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/vendors/iconsax.css	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:46	266301/266301	---MCZ	200	added ('OK')	text/css	etag:W/%2226de547229622e211b9ca934d75f3895%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/vendors/bootstrap.min.css	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/vendors/bootstrap.min.css	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:46	143514/143514	---MCZ	200	added ('OK')	text/css	etag:W/%22dbf1390b39b074f6f2268d441f6552a1%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/style.css	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/assets/css/style.css	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:47	113362/113362	---M--	200	added ('OK')	image/png	etag:%228c994c880f34d576f7d0d0e7e8b11290%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/assets/images/icons/profile1.png	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/assets/images/icons/profile1.png	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:48	4115/4115	---MCZ	200	added ('OK')	text/html	etag:W/%226c130d6923796b6b90b9559ccedbe696%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/profile-setting.html	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/profile-setting.html	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
09:24:48	6300/6300	---MCZ	200	added ('OK')	text/html	etag:W/%2254342a26d0849324c1a08d2bd7432931%22	https://html-demo-orcin.vercel.app/mobile/fuzzy/order-history.html	D:/fuzzy_profile/html-demo-orcin.vercel.app/mobile/fuzzy/order-history.html	(from https://html-demo-orcin.vercel.app/mobile/fuzzy/profile.html)
